case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
cvrplib_Vrp-All_A-n53-k7,52,Clarke-Wright,1.3670000043930486,1099.4543362487957,True,7
cvrplib_Vrp-All_A-n53-k7,52,Sweep,1.464999993913807,1117.1759321233421,True,7
cvrplib_Vrp-All_A-n54-k7,53,Greedy,0.9874999959720299,1433.6426135922889,True,7
cvrplib_Vrp-All_A-n54-k7,53,Clarke-Wright,1.5060000005178154,1201.1970162123496,True,7
cvrplib_Vrp-All_A-n54-k7,53,Sweep,2.007699993555434,1422.144931367052,True,8
cvrplib_Vrp-All_A-n55-k9,54,Greedy,0.7202999986475334,1499.3128792105574,True,9
cvrplib_Vrp-All_A-n55-k9,54,Clarke-Wright,2.252199992653914,1099.8395308645834,True,9
cvrplib_Vrp-All_A-n55-k9,54,Sweep,1.4223999896785244,1227.4702571764935,True,10
cvrplib_Vrp-All_A-n60-k9,59,Greedy,1.2493999965954572,1969.9807053701645,True,9
cvrplib_Vrp-All_A-n60-k9,59,Clarke-Wright,2.13130000338424,1421.8826011092553,True,9
cvrplib_Vrp-All_A-n60-k9,59,Sweep,1.137999992351979,1609.1512807891145,True,10
cvrplib_Vrp-All_A-n61-k9,60,Greedy,0.7204000139608979,1421.1604610455358,True,9
cvrplib_Vrp-All_A-n61-k9,60,Clarke-Wright,1.7331000126432627,1102.225752384373,True,10
cvrplib_Vrp-All_A-n61-k9,60,Sweep,1.1268000089330599,1234.8660282613087,True,10
cvrplib_Vrp-All_A-n62-k8,61,Greedy,0.7009000109974295,1816.5796506854228,True,8
cvrplib_Vrp-All_A-n62-k8,61,Clarke-Wright,1.7598000122234225,1352.8113271760064,True,8
cvrplib_Vrp-All_A-n62-k8,61,Sweep,1.676900006714277,1538.7790951662491,True,8
cvrplib_Vrp-All_A-n63-k10,62,Greedy,0.7167000003391877,1933.2643615780776,True,10
cvrplib_Vrp-All_A-n63-k10,62,Clarke-Wright,1.7947000014828518,1352.4806713049697,True,10
cvrplib_Vrp-All_A-n63-k10,62,Sweep,1.1491000041132793,1650.2226059033644,True,11
cvrplib_Vrp-All_A-n63-k9,62,Greedy,0.7252999930642545,2248.5706429083066,True,9
cvrplib_Vrp-All_A-n63-k9,62,Clarke-Wright,1.7844999965745956,1687.9633015172544,True,10
cvrplib_Vrp-All_A-n63-k9,62,Sweep,1.2504999904194847,1982.6181842226576,True,10
cvrplib_Vrp-All_A-n64-k9,63,Greedy,0.7462000066880137,1962.2157972595028,True,9
cvrplib_Vrp-All_A-n64-k9,63,Clarke-Wright,2.038799997535534,1486.9183394528584,True,10
cvrplib_Vrp-All_A-n64-k9,63,Sweep,1.3344000035431236,1858.2985211701512,True,10
cvrplib_Vrp-All_A-n65-k9,64,Greedy,0.7885999948484823,1802.412223474458,True,9
cvrplib_Vrp-All_A-n65-k9,64,Clarke-Wright,1.9173999899066985,1239.4202821373262,True,10
cvrplib_Vrp-All_A-n65-k9,64,Sweep,1.2217000039527193,1382.7364285835733,True,10
cvrplib_Vrp-All_A-n69-k9,68,Greedy,0.9477999992668629,1576.8750706732733,True,9
cvrplib_Vrp-All_A-n69-k9,68,Clarke-Wright,2.253500002552755,1210.7793565078211,True,9
cvrplib_Vrp-All_A-n69-k9,68,Sweep,1.6092000005301088,1302.8386271649588,True,9
cvrplib_Vrp-All_A-n80-k10,79,Greedy,1.2725999986287206,2255.4618868421517,True,10
cvrplib_Vrp-All_A-n80-k10,79,Clarke-Wright,4.732400004286319,1860.9424980238068,True,10
cvrplib_Vrp-All_A-n80-k10,79,Sweep,3.228300003684126,2381.0106763254403,True,11
cvrplib_Vrp-All_B-n31-k5,30,Greedy,0.21559999731834978,954.2938576448959,True,5
cvrplib_Vrp-All_B-n31-k5,30,Clarke-Wright,0.4410999972606078,681.164054610939,True,5
cvrplib_Vrp-All_B-n31-k5,30,Sweep,0.5371000006562099,811.41398668795,True,5
cvrplib_Vrp-All_B-n34-k5,33,Greedy,0.2420999953756109,901.6199178928878,True,5
cvrplib_Vrp-All_B-n34-k5,33,Clarke-Wright,0.519299996085465,794.3343495609317,True,5
cvrplib_Vrp-All_B-n34-k5,33,Sweep,0.555599996005185,945.5808806282755,True,6
cvrplib_Vrp-All_B-n35-k5,34,Greedy,0.24369999300688505,1225.4384886621278,True,5
cvrplib_Vrp-All_B-n35-k5,34,Clarke-Wright,0.567600000067614,978.3260513862692,True,5
cvrplib_Vrp-All_B-n35-k5,34,Sweep,0.6911999953445047,1092.7814660335696,True,5
cvrplib_Vrp-All_B-n38-k6,37,Greedy,0.2886999864131212,1269.6999405508452,True,6
cvrplib_Vrp-All_B-n38-k6,37,Clarke-Wright,0.640199999907054,832.0917333754528,True,6
cvrplib_Vrp-All_B-n38-k6,37,Sweep,0.6667999987257645,901.8388638166953,True,6
cvrplib_Vrp-All_B-n39-k5,38,Greedy,0.30100000731181353,1060.1502802982395,True,5
cvrplib_Vrp-All_B-n39-k5,38,Clarke-Wright,0.6747000006726012,566.7053718048619,True,5
cvrplib_Vrp-All_B-n39-k5,38,Sweep,0.9937000140780583,711.6721023186368,True,5
cvrplib_Vrp-All_B-n41-k6,40,Greedy,0.3580000047804788,1088.384253376145,True,6
cvrplib_Vrp-All_B-n41-k6,40,Clarke-Wright,0.742600008379668,898.0932173296683,True,7
cvrplib_Vrp-All_B-n41-k6,40,Sweep,0.6729000015184283,990.8925228153303,True,7
cvrplib_Vrp-All_B-n43-k6,42,Greedy,0.35570000181905925,966.2557748788233,True,6
cvrplib_Vrp-All_B-n43-k6,42,Clarke-Wright,0.8020000095712021,781.9643623465802,True,6
cvrplib_Vrp-All_B-n43-k6,42,Sweep,0.9854000090854242,875.9100225289603,True,6
cvrplib_Vrp-All_B-n44-k7,43,Greedy,0.41629999759607017,1278.9000951141898,True,7
cvrplib_Vrp-All_B-n44-k7,43,Clarke-Wright,0.8933999924920499,937.7351985254668,True,7
cvrplib_Vrp-All_B-n44-k7,43,Sweep,0.6664000102318823,1177.6026589145874,True,8
cvrplib_Vrp-All_B-n45-k5,44,Greedy,0.3913999971700832,1129.5244668093085,True,5
cvrplib_Vrp-All_B-n45-k5,44,Clarke-Wright,0.8804999961284921,757.1641652674426,True,5
cvrplib_Vrp-All_B-n45-k5,44,Sweep,1.7702000041026622,940.1847569595044,True,6
cvrplib_Vrp-All_B-n45-k6,44,Greedy,0.6564999930560589,1023.5548241868931,True,7
cvrplib_Vrp-All_B-n45-k6,44,Clarke-Wright,1.5033999952720478,727.8366964829168,True,7
cvrplib_Vrp-All_B-n45-k6,44,Sweep,1.3574000040534884,784.196765633836,True,7
cvrplib_Vrp-All_B-n50-k7,49,Greedy,0.8629999938420951,1209.7244480376899,True,7
cvrplib_Vrp-All_B-n50-k7,49,Clarke-Wright,1.829899993026629,748.8007847147744,True,7
cvrplib_Vrp-All_B-n50-k7,49,Sweep,2.2363999887602404,867.8440182647075,True,7
cvrplib_Vrp-All_B-n50-k8,49,Greedy,2.282000001287088,1537.331894214112,True,8
cvrplib_Vrp-All_B-n50-k8,49,Clarke-Wright,1.4828999992460012,1354.0263651827083,True,8
cvrplib_Vrp-All_B-n50-k8,49,Sweep,0.9397000103490427,1398.8177141638184,True,8
cvrplib_Vrp-All_B-n51-k7,50,Greedy,0.5010999884689227,1334.8278552185666,True,7
cvrplib_Vrp-All_B-n51-k7,50,Clarke-Wright,1.2011000071652234,1121.2546749039784,True,8
