case,n_customers,algorithm,time_ms,cost,valid_capacity,vehicles
cvrplib_Vrp-All_P-n60-k10,59,Sweep,0.9458999993512407,873.3613208652982,True,11
cvrplib_Vrp-All_P-n60-k15,59,Greedy,0.6843000010121614,1226.1077747439952,True,15
cvrplib_Vrp-All_P-n60-k15,59,Clarke-Wright,1.6117999912239611,1022.4204435954388,True,16
cvrplib_Vrp-All_P-n60-k15,59,Sweep,0.6156000017654151,1122.8726873256014,True,16
cvrplib_Vrp-All_P-n65-k10,64,Greedy,0.7951000006869435,1054.0314725262256,True,10
cvrplib_Vrp-All_P-n65-k10,64,Clarke-Wright,3.1466999935219064,851.6670635731377,True,10
cvrplib_Vrp-All_P-n65-k10,64,Sweep,1.3594000047305599,863.3642769002588,True,10
cvrplib_Vrp-All_P-n70-k10,69,Greedy,0.9262999956263229,1114.0714425140081,True,10
cvrplib_Vrp-All_P-n70-k10,69,Clarke-Wright,2.253099999506958,896.8628075110701,True,11
cvrplib_Vrp-All_P-n70-k10,69,Sweep,1.8755999917630106,934.4948382520373,True,11
cvrplib_Vrp-All_P-n76-k4,75,Greedy,1.8268999992869794,796.5410639773509,True,4
cvrplib_Vrp-All_P-n76-k4,75,Clarke-Wright,2.9452000017045066,689.1338750550221,True,4
cvrplib_Vrp-All_P-n76-k4,75,Sweep,11.996300003374927,671.3008366312893,True,4
cvrplib_Vrp-All_P-n76-k5,75,Greedy,1.8545000057201833,890.8472702429336,True,5
cvrplib_Vrp-All_P-n76-k5,75,Clarke-Wright,4.1218999976990744,698.5111782204993,True,5
cvrplib_Vrp-All_P-n76-k5,75,Sweep,11.334800001350231,717.6774322440614,True,5
cvrplib_Vrp-All_att48,47,Greedy,0.4754999972647056,52006.22014949504,True,4
cvrplib_Vrp-All_att48,47,Clarke-Wright,1.0114000033354387,43477.3776284936,True,4
cvrplib_Vrp-All_att48,47,Sweep,3.3684000081848353,44451.67404558479,True,4
cvrplib_Vrp-All_ulysses16.tsp,15,Greedy,0.06930000381544232,109.83787503063084,True,3
cvrplib_Vrp-All_ulysses16.tsp,15,Clarke-Wright,0.1286000042455271,90.610850251073,True,3
cvrplib_Vrp-All_ulysses16.tsp,15,Sweep,0.13359999866224825,94.47187767550471,True,3
cvrplib_Vrp-All_ulysses22.tsp,21,Greedy,0.11760000779759139,122.3469511964614,True,4
cvrplib_Vrp-All_ulysses22.tsp,21,Clarke-Wright,0.22230000467970967,101.57955971923832,True,4
cvrplib_Vrp-All_ulysses22.tsp,21,Sweep,0.2452000044286251,112.85567922595673,True,4
